Course Name,First Name,Last Name,Admission Number,ICTU Email
SP26-MBA-BUS403 Financial Management,Bruno,Kondo,ICTU20215008,bruno.kondo@ictu.edu.cm
SP26-MBA-BUS403 Financial Management,Camille,Toussaint,ICTU20215009,camille.toussaint@ictu.edu.cm
SP26-MBA-BUS403 Financial Management,Dominique,Ledan,ICTU20215010,dominique.ledan@ictu.edu.cm
SP26-MBA-BUS403 Financial Management,Estelle,Njoman,ICTU20215011,estelle.njoman@ictu.edu.cm
SP26-MBA-BUS403 Financial Management,Fabrice,Obam,ICTU20215012,fabrice.obam@ictu.edu.cm
SP26-MBA-BUS403 Financial Management,Gerard,Yung,ICTU20215013,gerard.yung@ictu.edu.cm
SP26-MBA-BUS403 Financial Management,Heloise,Mfundo,ICTU20215014,heloise.mfundo@ictu.edu.cm
SP26-MBA-BUS403 Financial Management,Ismael,Bache,ICTU20215015,ismael.bache@ictu.edu.cm
SP26-MBA-BUS403 Financial Management,Justine,Manga,ICTU20215016,justine.manga@ictu.edu.cm
SP26-MBA-BUS403 Financial Management,Karine,Messi,ICTU20215017,karine.messi@ictu.edu.cm
